,Channel,Content,Date Sent,Timestamp,PriceLevel,MinToConverge,P/L,IsWinner,Percentile
11,TickTools S&P500, top 50 percentile seller Exhaustion confirmed at: 4352,9/30/2021 14:09,9/30/2021 10:09,4352.0,0 days 00:03:57,-4.375,False,50.0
12,TickTools S&P500, top 43 percentile seller Exhaustion confirmed at: 4365.75,9/29/2021 19:07,9/29/2021 15:07,4365.75,0 days 00:22:57,-11.5,False,43.0
13,TickTools S&P500, top 53 percentile seller Exhaustion confirmed at: 4369.75,9/29/2021 18:51,9/29/2021 14:51,4369.75,0 days 00:07:57,-20.375,False,53.0
14,TickTools S&P500, top 60 percentile seller Exhaustion confirmed at: 4352.25,9/29/2021 16:18,9/29/2021 12:18,4352.25,0 days 00:23:57,-5.125,False,60.0
15,TickTools S&P500, top 39 percentile seller Exhaustion confirmed at: 4337.50,9/29/2021 13:30,9/29/2021 9:30,4337.5,0 days 00:04:52,28.125,True,39.0
16,TickTools S&P500, top 29 percentile seller Exhaustion confirmed at: 4352.50,9/28/2021 19:42,9/28/2021 15:42,4352.5,0 days 00:00:58,-5.5,False,29.0
17,TickTools S&P500, top 40 percentile seller Exhaustion confirmed at: 4334.75,9/28/2021 17:04,9/28/2021 13:04,4334.75,0 days 00:01:58,8.75,True,40.0
18,TickTools S&P500, top 18 percentile seller Exhaustion confirmed at: 4385,9/28/2021 13:49,9/28/2021 9:49,4385.0,0 days 00:10:59,-22.0,False,18.0
19,TickTools S&P500, top 40 percentile seller Exhaustion confirmed at: 4398,9/28/2021 13:32,9/28/2021 9:32,4398.0,0 days 00:03:59,-36.25,False,40.0
20,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4430.25,9/27/2021 14:03,9/27/2021 10:03,4430.25,0 days 00:10:58,10.375,True,51.0
21,TickTools S&P500, top 32 percentile seller Exhaustion confirmed at: 4417.75,9/24/2021 13:32,9/24/2021 9:32,4417.75,0 days 00:04:55,18.125,True,32.0
22,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4439,9/23/2021 16:27,9/23/2021 12:27,4439.0,0 days 00:11:56,13.25,True,51.0
23,TickTools S&P500, top 28 percentile seller Exhaustion confirmed at: 4392.50,9/22/2021 18:39,9/22/2021 14:39,4392.5,0 days 00:12:57,-4.0,False,28.0
24,TickTools S&P500, top 39 percentile seller Exhaustion confirmed at: 4393,9/22/2021 18:25,9/22/2021 14:25,4393.0,0 days 00:10:57,0.875,True,39.0
25,TickTools S&P500, top 57 percentile seller Exhaustion confirmed at: 4385,9/22/2021 17:13,9/22/2021 13:13,4385.0,0 days 00:12:57,12.875,True,57.0
26,TickTools S&P500, top 30 percentile seller Exhaustion confirmed at: 4358.25,9/21/2021 19:42,9/21/2021 15:42,4358.25,0 days 00:00:57,-23.0,False,30.0
27,TickTools S&P500, top 35 percentile seller Exhaustion confirmed at: 4351.50,9/21/2021 14:15,9/21/2021 10:15,4351.5,0 days 00:07:58,1.75,True,35.0
28,TickTools S&P500, top 56 percentile seller Exhaustion confirmed at: 4367,9/21/2021 14:01,9/21/2021 10:01,4367.0,0 days 00:02:58,-25.625,False,56.0
29,TickTools S&P500, top 23 percentile seller Exhaustion confirmed at: 4301.50,9/20/2021 18:47,9/20/2021 14:47,4301.5,0 days 00:13:58,45.25,True,23.0
30,TickTools S&P500, top 33 percentile seller Exhaustion confirmed at: 4417.75,9/17/2021 19:51,9/17/2021 15:51,4417.75,0 days 00:02:56,-8.875,False,33.0
31,TickTools S&P500, top 53 percentile seller Exhaustion confirmed at: 4422.75,9/17/2021 17:34,9/17/2021 13:34,4422.75,0 days 00:04:57,-2.875,False,53.0
32,TickTools S&P500, top 18 percentile seller Exhaustion confirmed at: 4424.25,9/17/2021 15:35,9/17/2021 11:35,4424.25,0 days 00:14:57,11.125,True,18.0
33,TickTools S&P500, top 41 percentile seller Exhaustion confirmed at: 4424.50,9/17/2021 15:12,9/17/2021 11:12,4424.5,0 days 00:07:57,5.75,True,41.0
34,TickTools S&P500, top 58 percentile seller Exhaustion confirmed at: 4441.50,9/17/2021 13:52,9/17/2021 9:52,4441.5,0 days 00:00:57,-11.875,False,58.0
35,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4467,9/16/2021 19:32,9/16/2021 15:32,4467.0,0 days 00:08:58,-6.75,False,51.0
36,TickTools S&P500, top 54 percentile seller Exhaustion confirmed at: 4470,9/16/2021 19:21,9/16/2021 15:21,4470.0,0 days 00:04:56,-8.625,False,54.0
37,TickTools S&P500, top 34 percentile seller Exhaustion confirmed at: 4442.50,9/16/2021 14:44,9/16/2021 10:44,4442.5,0 days 00:04:57,0.125,True,34.0
38,TickTools S&P500, top 46 percentile seller Exhaustion confirmed at: 4444.25,9/16/2021 14:06,9/16/2021 10:06,4444.25,0 days 00:01:58,-5.25,False,46.0
39,TickTools S&P500, top 39 percentile seller Exhaustion confirmed at: 4471,9/15/2021 19:25,9/15/2021 15:25,4471.0,0 days 01:45:58,5.25,True,39.0
40,TickTools S&P500, top 39 percentile seller Exhaustion confirmed at: 4436,9/15/2021 14:45,9/15/2021 10:45,4436.0,0 days 00:04:59,7.125,True,39.0
41,TickTools S&P500, top 58 percentile seller Exhaustion confirmed at: 4432.25,9/15/2021 14:16,9/15/2021 10:16,4432.25,0 days 00:03:58,13.25,True,58.0
42,TickTools S&P500, top 20 percentile seller Exhaustion confirmed at: 4427.75,9/14/2021 18:39,9/14/2021 14:39,4427.75,0 days 00:11:58,1.875,True,20.0
43,TickTools S&P500, top 29 percentile seller Exhaustion confirmed at: 4444.50,9/14/2021 16:43,9/14/2021 12:43,4444.5,0 days 00:08:58,-0.75,False,29.0
44,TickTools S&P500, top 35 percentile seller Exhaustion confirmed at: 4444.75,9/14/2021 14:28,9/14/2021 10:28,4444.75,0 days 00:08:59,5.375,True,35.0
45,TickTools S&P500, top 44 percentile seller Exhaustion confirmed at: 4445.75,9/14/2021 14:04,9/14/2021 10:04,4445.75,0 days 00:01:59,-0.25,False,44.0
46,TickTools S&P500, top 19 percentile seller Exhaustion confirmed at: 4442.25,9/13/2021 15:19,9/13/2021 11:19,4442.25,0 days 00:01:00,9.5,True,19.0
47,TickTools S&P500, top 34 percentile seller Exhaustion confirmed at: 4452.50,9/13/2021 15:12,9/13/2021 11:12,4452.5,0 days 00:08:00,-0.75,False,34.0
48,TickTools S&P500, top 44 percentile seller Exhaustion confirmed at: 4452,9/13/2021 14:10,9/13/2021 10:10,4452.0,0 days 00:08:59,-5.375,False,44.0
49,TickTools S&P500, top 52 percentile seller Exhaustion confirmed at: 4472.25,9/10/2021 14:35,9/10/2021 10:35,4472.25,0 days 00:07:57,0.25,True,52.0
50,TickTools S&P500, top 44 percentile seller Exhaustion confirmed at: 4499,9/9/2021 16:20,9/9/2021 12:20,4499.0,0 days 00:06:57,0.75,True,44.0
51,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4502.25,9/9/2021 15:29,9/9/2021 11:29,4502.25,0 days 00:02:58,8.5,True,51.0
52,TickTools S&P500, top 91 percentile seller Exhaustion confirmed at: 4514.50,9/8/2021 13:30,9/8/2021 9:30,4514.5,0 days 00:16:49,-17.625,False,91.0
53,TickTools S&P500, top 42 percentile seller Exhaustion confirmed at: 4510.75,9/7/2021 14:15,9/7/2021 10:15,4510.75,0 days 00:01:59,4.0,True,42.0
54,TickTools S&P500, top 50 percentile seller Exhaustion confirmed at: 4529.50,9/3/2021 15:22,9/3/2021 11:22,4529.5,0 days 00:00:56,1.375,True,50.0
55,TickTools S&P500, top 59 percentile seller Exhaustion confirmed at: 4526,9/3/2021 14:03,9/3/2021 10:03,4526.0,0 days 00:01:57,3.0,True,59.0
56,TickTools S&P500, top 42 percentile seller Exhaustion confirmed at: 4526.50,9/2/2021 19:14,9/2/2021 15:14,4526.5,0 days 00:21:56,9.375,True,42.0
57,TickTools S&P500, top 49 percentile seller Exhaustion confirmed at: 4523.50,9/2/2021 18:39,9/2/2021 14:39,4523.5,0 days 00:10:57,4.625,True,49.0
58,TickTools S&P500, top 30 percentile seller Exhaustion confirmed at: 4522.75,9/1/2021 19:09,9/1/2021 15:09,4522.75,0 days 00:03:58,1.5,True,30.0
59,TickTools S&P500, top 35 percentile seller Exhaustion confirmed at: 4517.50,8/31/2021 17:27,8/31/2021 13:27,4517.5,0 days 00:03:59,3.75,True,35.0
60,TickTools S&P500, top 56 percentile seller Exhaustion confirmed at: 4516.75,8/31/2021 14:27,8/31/2021 10:27,4516.75,0 days 00:02:59,8.75,True,56.0
61,TickTools S&P500, top 43 percentile seller Exhaustion confirmed at: 4530.75,8/30/2021 19:28,8/30/2021 15:28,4530.75,0 days 00:05:58,-2.125,False,43.0
62,TickTools S&P500, top 61 percentile seller Exhaustion confirmed at: 4531.50,8/30/2021 18:29,8/30/2021 14:29,4531.5,0 days 00:09:59,-1.75,False,61.0
63,TickTools S&P500, top 31 percentile seller Exhaustion confirmed at: 4470.50,8/26/2021 18:53,8/26/2021 14:53,4470.5,0 days 00:00:56,-1.125,False,31.0
64,TickTools S&P500, top 56 percentile seller Exhaustion confirmed at: 4491.25,8/25/2021 19:18,8/25/2021 15:18,4491.25,0 days 00:04:57,1.625,True,56.0
65,TickTools S&P500, top 43 percentile seller Exhaustion confirmed at: 4470.50,8/23/2021 14:33,8/23/2021 10:33,4470.5,0 days 00:09:58,9.25,True,43.0
66,TickTools S&P500, top 28 percentile seller Exhaustion confirmed at: 4428.50,8/20/2021 18:26,8/20/2021 14:26,4428.5,0 days 00:01:57,7.875,True,28.0
67,TickTools S&P500, top 53 percentile seller Exhaustion confirmed at: 4435.50,8/20/2021 17:27,8/20/2021 13:27,4435.5,0 days 00:06:55,-5.75,False,53.0
68,TickTools S&P500, top 50 percentile seller Exhaustion confirmed at: 4433,8/18/2021 16:31,8/18/2021 12:31,4433.0,0 days 00:07:58,2.0,True,50.0
69,TickTools S&P500, top 60 percentile seller Exhaustion confirmed at: 4430.25,8/18/2021 13:32,8/18/2021 9:32,4430.25,0 days 00:14:59,11.125,True,60.0
70,TickTools S&P500, top 28 percentile seller Exhaustion confirmed at: 4421.25,8/17/2021 18:42,8/17/2021 14:42,4421.25,0 days 00:01:57,13.0,True,28.0
71,TickTools S&P500, top 30 percentile seller Exhaustion confirmed at: 4424.75,8/17/2021 18:33,8/17/2021 14:33,4424.75,0 days 00:01:58,12.875,True,30.0
72,TickTools S&P500, top 36 percentile seller Exhaustion confirmed at: 4426.75,8/17/2021 18:25,8/17/2021 14:25,4426.75,0 days 00:01:57,7.625,True,36.0
73,TickTools S&P500, top 43 percentile seller Exhaustion confirmed at: 4448,8/16/2021 13:33,8/16/2021 9:33,4448.0,0 days 00:02:00,-11.875,False,43.0
74,TickTools S&P500, top 42 percentile seller Exhaustion confirmed at: 4456,8/13/2021 18:47,8/13/2021 14:47,4456.0,0 days 00:02:57,4.375,True,42.0
75,TickTools S&P500, top 61 percentile seller Exhaustion confirmed at: 4446.50,8/12/2021 18:05,8/12/2021 14:05,4446.5,0 days 00:08:55,6.75,True,61.0
76,TickTools S&P500, top 38 percentile seller Exhaustion confirmed at: 4429.25,8/10/2021 17:49,8/10/2021 13:49,4429.25,0 days 00:06:59,2.625,True,38.0
77,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4425,8/9/2021 19:51,8/9/2021 15:51,4425.0,0 days 01:15:59,2.875,True,51.0
78,TickTools S&P500, top 59 percentile seller Exhaustion confirmed at: 4418.75,8/9/2021 14:18,8/9/2021 10:18,4418.75,0 days 00:09:00,4.125,True,59.0
79,TickTools S&P500, top 55 percentile seller Exhaustion confirmed at: 4412.50,8/5/2021 15:51,8/5/2021 11:51,4412.5,0 days 00:09:50,-3.625,False,55.0
80,TickTools S&P500, top 23 percentile seller Exhaustion confirmed at: 4395.75,8/4/2021 16:44,8/4/2021 12:44,4395.75,0 days 00:04:58,6.375,True,23.0
81,TickTools S&P500, top 41 percentile seller Exhaustion confirmed at: 4399.50,8/4/2021 13:34,8/4/2021 9:34,4399.5,0 days 00:00:58,-0.125,False,41.0
82,TickTools S&P500, top 47 percentile seller Exhaustion confirmed at: 4365.25,8/3/2021 14:12,8/3/2021 10:12,4365.25,0 days 00:03:59,14.125,True,47.0
83,TickTools S&P500, top 34 percentile seller Exhaustion confirmed at: 4389.75,8/2/2021 18:28,8/2/2021 14:28,4389.75,0 days 00:02:58,-4.0,False,34.0
84,TickTools S&P500, top 41 percentile seller Exhaustion confirmed at: 4386.50,8/2/2021 16:10,8/2/2021 12:10,4386.5,0 days 00:07:59,8.625,True,41.0
85,TickTools S&P500, top 50 percentile seller Exhaustion confirmed at: 4403,8/2/2021 15:04,8/2/2021 11:04,4403.0,0 days 00:00:59,-12.25,False,50.0
86,TickTools S&P500, top 61 percentile seller Exhaustion confirmed at: 4406.25,8/2/2021 14:15,8/2/2021 10:15,4406.25,0 days 00:03:59,-0.125,False,61.0
87,TickTools S&P500, top 54 percentile seller Exhaustion confirmed at: 4391.25,7/30/2021 17:06,7/30/2021 13:06,4391.25,0 days 00:01:55,-0.125,False,54.0
88,TickTools S&P500, top 46 percentile seller Exhaustion confirmed at: 4383.75,7/30/2021 13:32,7/30/2021 9:32,4383.75,0 days 00:03:56,8.25,True,46.0
89,TickTools S&P500, top 58 percentile seller Exhaustion confirmed at: 4418.75,7/29/2021 17:23,7/29/2021 13:23,4418.75,0 days 00:02:56,-1.125,False,58.0
90,TickTools S&P500, top 33 percentile seller Exhaustion confirmed at: 4377.50,7/28/2021 18:02,7/28/2021 14:02,4377.5,0 days 00:07:57,23.0,True,33.0
91,TickTools S&P500, top 61 percentile seller Exhaustion confirmed at: 4388.75,7/28/2021 14:10,7/28/2021 10:10,4388.75,0 days 00:00:58,9.5,True,61.0
92,TickTools S&P500, top 27 percentile seller Exhaustion confirmed at: 4392.25,7/27/2021 13:35,7/27/2021 9:35,4392.25,0 days 00:03:58,-3.0,False,27.0
93,TickTools S&P500, top 34 percentile seller Exhaustion confirmed at: 4400,7/26/2021 15:03,7/26/2021 11:03,4400.0,0 days 00:10:59,9.25,True,34.0
94,TickTools S&P500, top 55 percentile seller Exhaustion confirmed at: 4398.25,7/26/2021 14:34,7/26/2021 10:34,4398.25,0 days 00:12:58,12.375,True,55.0
95,TickTools S&P500, top 44 percentile seller Exhaustion confirmed at: 4394,7/23/2021 15:48,7/23/2021 11:48,4394.0,0 days 00:07:57,3.375,True,44.0
96,TickTools S&P500, top 39 percentile seller Exhaustion confirmed at: 4356.25,7/22/2021 19:33,7/22/2021 15:33,4356.25,0 days 00:00:57,11.125,True,39.0
97,TickTools S&P500, top 53 percentile seller Exhaustion confirmed at: 4358.50,7/22/2021 19:14,7/22/2021 15:14,4358.5,0 days 00:19:57,8.875,True,53.0
98,TickTools S&P500, top 47 percentile seller Exhaustion confirmed at: 4347,7/22/2021 15:50,7/22/2021 11:50,4347.0,0 days 00:00:57,2.0,True,47.0
99,TickTools S&P500, top 57 percentile seller Exhaustion confirmed at: 4350,7/22/2021 14:29,7/22/2021 10:29,4350.0,0 days 00:00:57,1.625,True,57.0
100,TickTools S&P500, top 27 percentile seller Exhaustion confirmed at: 4345,7/21/2021 19:31,7/21/2021 15:31,4345.0,0 days 00:04:58,8.25,True,27.0
101,TickTools S&P500, top 41 percentile seller Exhaustion confirmed at: 4341,7/21/2021 18:22,7/21/2021 14:22,4341.0,0 days 00:08:58,5.125,True,41.0
102,TickTools S&P500, top 48 percentile seller Exhaustion confirmed at: 4333.50,7/21/2021 14:32,7/21/2021 10:32,4333.5,0 days 00:00:59,5.0,True,48.0
103,TickTools S&P500, top 47 percentile seller Exhaustion confirmed at: 4318.75,7/20/2021 18:50,7/20/2021 14:50,4318.75,0 days 00:02:58,4.25,True,47.0
104,TickTools S&P500, top 39 percentile seller Exhaustion confirmed at: 4313.25,7/20/2021 16:13,7/20/2021 12:13,4313.25,0 days 00:03:58,3.5,True,39.0
105,TickTools S&P500, top 18 percentile seller Exhaustion confirmed at: 4227.25,7/19/2021 19:24,7/19/2021 15:24,4227.25,0 days 00:06:59,30.125,True,18.0
106,TickTools S&P500, top 20 percentile seller Exhaustion confirmed at: 4225.50,7/19/2021 18:56,7/19/2021 14:56,4225.5,0 days 00:11:00,29.125,True,20.0
107,TickTools S&P500, top 24 percentile seller Exhaustion confirmed at: 4226,7/19/2021 17:45,7/19/2021 13:45,4226.0,0 days 00:00:59,0.625,True,24.0
108,TickTools S&P500, top 30 percentile seller Exhaustion confirmed at: 4242.50,7/19/2021 16:07,7/19/2021 12:07,4242.5,0 days 00:08:59,-5.75,False,30.0
109,TickTools S&P500, top 38 percentile seller Exhaustion confirmed at: 4321.75,7/16/2021 19:07,7/16/2021 15:07,4321.75,0 days 00:08:53,-6.0,False,38.0
110,TickTools S&P500, top 49 percentile seller Exhaustion confirmed at: 4331.75,7/16/2021 18:04,7/16/2021 14:04,4331.75,0 days 00:04:55,-9.25,False,49.0
111,TickTools S&P500, top 57 percentile seller Exhaustion confirmed at: 4336.50,7/16/2021 14:28,7/16/2021 10:28,4336.5,0 days 00:03:56,1.25,True,57.0
112,TickTools S&P500, top 20 percentile seller Exhaustion confirmed at: 4337.25,7/15/2021 17:37,7/15/2021 13:37,4337.25,0 days 00:05:56,3.75,True,20.0
113,TickTools S&P500, top 26 percentile seller Exhaustion confirmed at: 4342.75,7/15/2021 17:17,7/15/2021 13:17,4342.75,0 days 00:25:56,-1.75,False,26.0
114,TickTools S&P500, top 54 percentile seller Exhaustion confirmed at: 4347.25,7/15/2021 17:04,7/15/2021 13:04,4347.25,0 days 00:08:55,-8.125,False,54.0
115,TickTools S&P500, top 43 percentile seller Exhaustion confirmed at: 4353,7/15/2021 13:32,7/15/2021 9:32,4353.0,0 days 00:05:56,2.375,True,43.0
116,TickTools S&P500, top 39 percentile seller Exhaustion confirmed at: 4369,7/14/2021 18:07,7/14/2021 14:07,4369.0,0 days 00:10:56,2.25,True,39.0
117,TickTools S&P500, top 25 percentile seller Exhaustion confirmed at: 4356.25,7/14/2021 15:45,7/14/2021 11:45,4356.25,0 days 00:07:56,15.25,True,25.0
118,TickTools S&P500, top 38 percentile seller Exhaustion confirmed at: 4370,7/14/2021 15:15,7/14/2021 11:15,4370.0,0 days 00:08:57,-2.5,False,38.0
119,TickTools S&P500, top 56 percentile seller Exhaustion confirmed at: 4377.50,7/14/2021 13:54,7/14/2021 9:54,4377.5,0 days 00:19:57,-6.625,False,56.0
120,TickTools S&P500, top 27 percentile seller Exhaustion confirmed at: 4360.50,7/13/2021 19:13,7/13/2021 15:13,4360.5,0 days 00:12:57,-1.125,False,27.0
121,TickTools S&P500, top 33 percentile seller Exhaustion confirmed at: 4367.25,7/13/2021 17:22,7/13/2021 13:22,4367.25,0 days 00:02:57,0.75,True,33.0
122,TickTools S&P500, top 41 percentile seller Exhaustion confirmed at: 4367,7/13/2021 13:32,7/13/2021 9:32,4367.0,0 days 00:16:57,8.25,True,41.0
123,TickTools S&P500, top 41 percentile seller Exhaustion confirmed at: 4369.75,7/12/2021 14:52,7/12/2021 10:52,4369.75,0 days 00:00:58,-1.125,False,41.0
124,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4345.75,7/9/2021 15:01,7/9/2021 11:01,4345.75,0 days 00:13:56,8.375,True,51.0
125,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4311.50,7/8/2021 16:26,7/8/2021 12:26,4311.5,0 days 00:09:55,7.75,True,51.0
126,TickTools S&P500, top 49 percentile seller Exhaustion confirmed at: 4339.50,7/7/2021 14:23,7/7/2021 10:23,4339.5,0 days 00:05:56,-0.625,False,49.0
127,TickTools S&P500, top 37 percentile seller Exhaustion confirmed at: 4320,7/6/2021 14:38,7/6/2021 10:38,4320.0,0 days 00:03:57,-0.625,False,37.0
128,TickTools S&P500, top 54 percentile seller Exhaustion confirmed at: 4286.25,6/30/2021 15:05,6/30/2021 11:05,4286.25,0 days 08:00:59,7.5,True,54.0
129,TickTools S&P500, top 61 percentile seller Exhaustion confirmed at: 4284.25,6/29/2021 15:52,6/29/2021 11:52,4284.25,1 days 07:13:59,9.5,True,61.0
