,Channel,Content,Date Sent,Timestamp
19,TickTools S&P500, top 18 percentile seller Exhaustion confirmed at: 4282.25,10/4/2021 19:19, 10/04/2021 03:19:03 PM
20,TickTools S&P500, top 20 percentile seller Exhaustion confirmed at: 4286.25,10/4/2021 19:14, 10/04/2021 03:14:01 PM
21,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33904,10/4/2021 19:06, 10/04/2021 03:06:01 PM
22,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33865,10/4/2021 18:23, 10/04/2021 02:23:01 PM
23,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33856,10/4/2021 17:14, 10/04/2021 01:14:01 PM
24,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 33749,10/4/2021 16:41, 10/04/2021 12:41:01 PM
25,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4272.75,10/4/2021 16:41, 10/04/2021 12:41:00 PM
26,TickTools S&P500, top 17 percentile buyer Exhaustion confirmed at: 4291.25,10/4/2021 16:01, 10/04/2021 12:01:01 PM
27,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33869,10/4/2021 15:59, 10/04/2021 11:59:00 AM
28,TickTools S&P500, top 58 percentile buyer Exhaustion confirmed at: 4283.75,10/4/2021 15:56, 10/04/2021 11:56:01 AM
29,TickTools S&P500, top 66 percentile buyer Exhaustion confirmed at: 4277.25,10/4/2021 15:46, 10/04/2021 11:46:01 AM
30,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 33681,10/4/2021 15:42, 10/04/2021 11:42:02 AM
31,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4267.50,10/4/2021 15:42, 10/04/2021 11:42:00 AM
32,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4276.50,10/4/2021 14:54, 10/04/2021 10:54:01 AM
33,TickTools S&P500, X-TICK top 12 percentile seller capitulation X-TICK confirmed at: 4281.50,10/4/2021 14:40, 10/04/2021 10:40:01 AM
34,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4281.75,10/4/2021 14:39, 10/04/2021 10:39:00 AM
35,TickTools S&P500, X-TICK top 12 percentile seller capitulation X-TICK confirmed at: 4287.25,10/4/2021 14:37, 10/04/2021 10:37:02 AM
36,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 33845,10/4/2021 14:36, 10/04/2021 10:36:01 AM
37,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4287.25,10/4/2021 14:36, 10/04/2021 10:36:00 AM
38,TickTools S&P500, top 25 percentile seller Exhaustion confirmed at: 4313.50,10/4/2021 14:21, 10/04/2021 10:21:00 AM
39,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4318.25,10/4/2021 14:07, 10/04/2021 10:07:01 AM
40,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34252,10/4/2021 13:53, 10/04/2021 09:53:01 AM
41,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34112,10/4/2021 9:01, 10/04/2021 05:01:01 AM
42,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4334.75,10/4/2021 9:01, 10/04/2021 05:01:01 AM
43,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34080,10/4/2021 8:59, 10/04/2021 04:59:08 AM
44,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 33990,10/4/2021 8:41, 10/04/2021 04:41:02 AM
45,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4321.50,10/4/2021 8:35, 10/04/2021 04:35:01 AM
46,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34002,10/4/2021 8:35, 10/04/2021 04:35:01 AM
47,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4326.50,10/4/2021 7:56, 10/04/2021 03:56:01 AM
48,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4325.75,10/4/2021 7:49, 10/04/2021 03:49:01 AM
49,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34049,10/4/2021 6:58, 10/04/2021 02:58:03 AM
50,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4325.50,10/4/2021 6:58, 10/04/2021 02:58:01 AM
51,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4336,10/4/2021 6:32, 10/04/2021 02:32:01 AM
52,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4325.50,10/4/2021 6:15, 10/04/2021 02:15:01 AM
53,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34099,10/4/2021 5:59, 10/04/2021 01:59:00 AM
54,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4335.25,10/4/2021 5:49, 10/04/2021 01:49:00 AM
55,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4342.75,10/4/2021 4:48, 10/04/2021 12:48:00 AM
56,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4326.50,10/4/2021 1:55, 10/03/2021 09:55:00 PM
57,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4328,10/4/2021 1:51, 10/03/2021 09:51:01 PM
58,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4333.50,10/4/2021 1:40, 10/03/2021 09:40:01 PM
59,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4341,10/4/2021 0:53, 10/03/2021 08:53:00 PM
60,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4341.75,10/4/2021 0:49, 10/03/2021 08:49:02 PM
61,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34118,10/4/2021 0:49, 10/03/2021 08:49:01 PM
62,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4360.75,10/3/2021 22:30, 10/03/2021 06:30:00 PM
63,TickTools S&P500, top 22 percentile seller Exhaustion confirmed at: 4350.75,10/1/2021 19:35, 10/01/2021 03:35:04 PM
64,TickTools S&P500, top 48 percentile seller Exhaustion confirmed at: 4355.25,10/1/2021 19:27, 10/01/2021 03:27:03 PM
65,TickTools S&P500, top 40 percentile seller Exhaustion confirmed at: 4282,10/1/2021 14:22, 10/01/2021 10:22:03 AM
66,TickTools S&P500, top 60 percentile seller Exhaustion confirmed at: 4293,10/1/2021 13:58, 10/01/2021 09:58:03 AM
67,TickTools S&P500, X-TICK top 4 percentile buyer capitulation X-TICK confirmed at: 4321.25,10/1/2021 13:33, 10/01/2021 09:33:07 AM
68,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33890,10/1/2021 11:47, 10/01/2021 07:47:04 AM
69,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33804,10/1/2021 11:34, 10/01/2021 07:34:03 AM
70,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33705,10/1/2021 11:18, 10/01/2021 07:18:03 AM
71,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34043,9/30/2021 18:51, 9/30/2021 02:51:02 PM
72,TickTools S&P500, X-TICK top 7 percentile buyer capitulation X-TICK confirmed at: 4330.25,9/30/2021 18:02, 9/30/2021 02:02:03 PM
73,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33909,9/30/2021 17:17, 9/30/2021 01:17:03 PM
74,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4327.50,9/30/2021 17:17, 9/30/2021 01:17:02 PM
75,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4323.25,9/30/2021 17:09, 9/30/2021 01:09:03 PM
76,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4319.50,9/30/2021 16:53, 9/30/2021 12:53:02 PM
77,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4318,9/30/2021 16:49, 9/30/2021 12:49:03 PM
78,TickTools S&P500, top 37 percentile buyer Exhaustion confirmed at: 4317,9/30/2021 16:37, 9/30/2021 12:37:03 PM
79,TickTools S&P500, X-TICK top 10 percentile seller capitulation X-TICK confirmed at: 4304.50,9/30/2021 16:35, 9/30/2021 12:35:03 PM
80,TickTools S&P500, X-TICK top 14 percentile seller capitulation X-TICK confirmed at: 4326.75,9/30/2021 15:44, 9/30/2021 11:44:03 AM
81,TickTools S&P500, X-TICK top 14 percentile seller capitulation X-TICK confirmed at: 4333.25,9/30/2021 15:40, 9/30/2021 11:40:03 AM
82,TickTools S&P500, top 20 percentile seller Exhaustion confirmed at: 4338.75,9/30/2021 14:57, 9/30/2021 10:57:03 AM
83,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34048,9/30/2021 14:56, 9/30/2021 10:56:03 AM
84,TickTools S&P500, top 50 percentile seller Exhaustion confirmed at: 4352,9/30/2021 14:09, 9/30/2021 10:09:03 AM
85,TickTools S&P500, top 21 percentile buyer Exhaustion confirmed at: 4373.50,9/30/2021 13:34, 9/30/2021 09:34:03 AM
86,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34351,9/30/2021 11:44, 9/30/2021 07:44:03 AM
87,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34425,9/30/2021 9:52, 9/30/2021 05:52:05 AM
88,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4389,9/30/2021 6:21, 9/30/2021 02:21:04 AM
89,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4387,9/30/2021 6:19, 9/30/2021 02:19:03 AM
90,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4385.25,9/30/2021 5:03, 9/30/2021 01:03:03 AM
91,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34319,9/29/2021 19:46, 9/29/2021 03:46:02 PM
92,TickTools S&P500, top 43 percentile seller Exhaustion confirmed at: 4365.75,9/29/2021 19:07, 9/29/2021 03:07:03 PM
93,TickTools S&P500, top 53 percentile seller Exhaustion confirmed at: 4369.75,9/29/2021 18:51, 9/29/2021 02:51:03 PM
94,TickTools S&P500, X-TICK top 7 percentile buyer capitulation X-TICK confirmed at: 4367.75,9/29/2021 18:12, 9/29/2021 02:12:03 PM
95,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4364.25,9/29/2021 18:09, 9/29/2021 02:09:03 PM
96,TickTools S&P500, top 17 percentile buyer Exhaustion confirmed at: 4358.75,9/29/2021 17:19, 9/29/2021 01:19:04 PM
97,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34268,9/29/2021 16:24, 9/29/2021 12:24:03 PM
98,TickTools S&P500, top 60 percentile seller Exhaustion confirmed at: 4352.25,9/29/2021 16:18, 9/29/2021 12:18:03 PM
99,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34395,9/29/2021 14:49, 9/29/2021 10:49:02 AM
100,TickTools S&P500, top 20 percentile buyer Exhaustion confirmed at: 4369.75,9/29/2021 13:54, 9/29/2021 09:54:02 AM
101,TickTools S&P500, top 27 percentile buyer Exhaustion confirmed at: 4363,9/29/2021 13:34, 9/29/2021 09:34:02 AM
102,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34292,9/29/2021 13:31, 9/29/2021 09:31:04 AM
103,TickTools S&P500, top 39 percentile seller Exhaustion confirmed at: 4337.50,9/29/2021 13:30, 9/29/2021 09:30:08 AM
104,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4374.25,9/29/2021 7:21, 9/29/2021 03:21:02 AM
105,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34297,9/29/2021 6:35, 9/29/2021 02:35:04 AM
106,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34290,9/29/2021 0:01, 9/28/2021 08:01:06 PM
107,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4356,9/29/2021 0:00, 9/28/2021 08:00:03 PM
108,TickTools S&P500, top 29 percentile seller Exhaustion confirmed at: 4352.50,9/28/2021 19:42, 9/28/2021 03:42:02 PM
109,TickTools S&P500, X-TICK top 2 percentile buyer capitulation X-TICK confirmed at: 4372.25,9/28/2021 19:10, 9/28/2021 03:10:02 PM
110,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34282,9/28/2021 18:43, 9/28/2021 02:43:02 PM
111,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34161,9/28/2021 18:01, 9/28/2021 02:01:03 PM
112,TickTools S&P500, X-TICK top 7 percentile buyer capitulation X-TICK confirmed at: 4355.75,9/28/2021 17:27, 9/28/2021 01:27:03 PM
113,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4355.75,9/28/2021 17:26, 9/28/2021 01:26:02 PM
114,TickTools S&P500, top 21 percentile buyer Exhaustion confirmed at: 4343.75,9/28/2021 17:10, 9/28/2021 01:10:02 PM
115,TickTools S&P500, top 40 percentile seller Exhaustion confirmed at: 4334.75,9/28/2021 17:04, 9/28/2021 01:04:02 PM
116,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34143,9/28/2021 16:51, 9/28/2021 12:51:02 PM
117,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34204,9/28/2021 16:40, 9/28/2021 12:40:02 PM
118,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4343.50,9/28/2021 15:18, 9/28/2021 11:18:02 AM
119,TickTools S&P500, top 21 percentile buyer Exhaustion confirmed at: 4371.75,9/28/2021 14:41, 9/28/2021 10:41:01 AM
120,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4354.25,9/28/2021 14:36, 9/28/2021 10:36:02 AM
121,TickTools S&P500, top 18 percentile seller Exhaustion confirmed at: 4385,9/28/2021 13:49, 9/28/2021 09:49:01 AM
122,TickTools S&P500, top 40 percentile seller Exhaustion confirmed at: 4398,9/28/2021 13:32, 9/28/2021 09:32:01 AM
123,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34674,9/28/2021 13:21, 9/28/2021 09:21:03 AM
124,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4409.75,9/28/2021 13:21, 9/28/2021 09:21:02 AM
125,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4406,9/28/2021 13:15, 9/28/2021 09:15:01 AM
126,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34649,9/28/2021 11:46, 9/28/2021 07:46:02 AM
127,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4389.25,9/28/2021 11:25, 9/28/2021 07:25:02 AM
128,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4388,9/28/2021 10:16, 9/28/2021 06:16:02 AM
129,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4392.75,9/28/2021 9:56, 9/28/2021 05:56:01 AM
130,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4396.75,9/28/2021 9:54, 9/28/2021 05:54:02 AM
131,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4403.25,9/28/2021 7:48, 9/28/2021 03:48:01 AM
132,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4405.75,9/28/2021 7:30, 9/28/2021 03:30:02 AM
133,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4409.50,9/28/2021 7:23, 9/28/2021 03:23:03 AM
134,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34655,9/28/2021 7:23, 9/28/2021 03:23:02 AM
135,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4421.75,9/28/2021 6:37, 9/28/2021 02:37:03 AM
136,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4422.75,9/28/2021 6:33, 9/28/2021 02:33:02 AM
137,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4424,9/28/2021 6:31, 9/28/2021 02:31:04 AM
138,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34778,9/28/2021 6:22, 9/28/2021 02:22:01 AM
139,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4428.75,9/28/2021 6:22, 9/28/2021 02:22:01 AM
140,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4430.25,9/27/2021 14:03, 9/27/2021 10:03:02 AM
141,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4429.50,9/27/2021 12:24, 9/27/2021 08:24:01 AM
142,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4432.50,9/27/2021 12:12, 9/27/2021 08:12:01 AM
143,TickTools S&P500, top 24 percentile buyer Exhaustion confirmed at: 4449,9/24/2021 19:25, 9/24/2021 03:25:05 PM
144,TickTools S&P500, top 66 percentile buyer Exhaustion confirmed at: 4439.75,9/24/2021 15:56, 9/24/2021 11:56:05 AM
145,TickTools S&P500, top 32 percentile seller Exhaustion confirmed at: 4417.75,9/24/2021 13:32, 9/24/2021 09:32:05 AM
146,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4418.50,9/24/2021 7:32, 9/24/2021 03:32:04 AM
147,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4422.50,9/24/2021 7:06, 9/24/2021 03:06:05 AM
148,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4437,9/24/2021 1:58, 9/23/2021 09:58:05 PM
149,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4436,9/23/2021 20:00, 9/23/2021 04:00:18 PM
150,TickTools S&P500, top 52 percentile buyer Exhaustion confirmed at: 4441,9/23/2021 19:59, 9/23/2021 03:59:03 PM
151,TickTools S&P500, top 51 percentile seller Exhaustion confirmed at: 4439,9/23/2021 16:27, 9/23/2021 12:27:04 PM
152,TickTools S&P500, X-TICK top 15 percentile buyer capitulation X-TICK confirmed at: 4408.75,9/23/2021 13:32, 9/23/2021 09:32:04 AM
153,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4396.75,9/23/2021 13:12, 9/23/2021 09:12:04 AM
154,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4399,9/23/2021 13:07, 9/23/2021 09:07:03 AM
155,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4424.75,9/23/2021 9:09, 9/23/2021 05:09:05 AM
156,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4410.25,9/23/2021 7:44, 9/23/2021 03:44:04 AM
157,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4405.50,9/23/2021 6:52, 9/23/2021 02:52:03 AM
158,TickTools S&P500,  Y. M. Tick Tools Yellow Seller Capitulation Bar triggered 1 min chart at 34102,9/22/2021 20:00, 9/22/2021 04:00:06 PM
159,TickTools S&P500,  Yellow Seller Capitulation Bar triggered 1 min chart at 4387.50,9/22/2021 19:49, 9/22/2021 03:49:02 PM
160,TickTools S&P500, X-TICK top 8 percentile seller capitulation X-TICK confirmed at: 4384,9/22/2021 18:42, 9/22/2021 02:42:03 PM
161,TickTools S&P500, top 28 percentile seller Exhaustion confirmed at: 4392.50,9/22/2021 18:39, 9/22/2021 02:39:03 PM
162,TickTools S&P500, top 39 percentile seller Exhaustion confirmed at: 4393,9/22/2021 18:25, 9/22/2021 02:25:03 PM
163,TickTools S&P500, top 57 percentile seller Exhaustion confirmed at: 4385,9/22/2021 17:13, 9/22/2021 01:13:03 PM
164,TickTools S&P500, X-TICK top 5 percentile buyer capitulation X-TICK confirmed at: 4367.75,9/22/2021 13:32, 9/22/2021 09:32:02 AM
165,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4352,9/22/2021 2:52, 9/21/2021 10:52:02 PM
166,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4358,9/22/2021 1:30, 9/21/2021 09:30:03 PM
167,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4355.75,9/22/2021 1:26, 9/21/2021 09:26:04 PM
168,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4353.75,9/22/2021 1:16, 9/21/2021 09:16:03 PM
169,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4337.50,9/22/2021 1:09, 9/21/2021 09:09:02 PM
170,TickTools S&P500, top 30 percentile seller Exhaustion confirmed at: 4358.25,9/21/2021 19:42, 9/21/2021 03:42:03 PM
171,TickTools S&P500, X-TICK top 5 percentile buyer capitulation X-TICK confirmed at: 4363.75,9/21/2021 18:52, 9/21/2021 02:52:04 PM
172,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4361.25,9/21/2021 18:51, 9/21/2021 02:51:03 PM
173,TickTools S&P500, X-TICK top 16 percentile buyer capitulation X-TICK confirmed at: 4353.50,9/21/2021 18:02, 9/21/2021 02:02:02 PM
174,TickTools S&P500, top 22 percentile buyer Exhaustion confirmed at: 4355.50,9/21/2021 17:53, 9/21/2021 01:53:02 PM
175,TickTools S&P500, top 49 percentile buyer Exhaustion confirmed at: 4353.50,9/21/2021 17:51, 9/21/2021 01:51:03 PM
176,TickTools S&P500, X-TICK top 9 percentile seller capitulation X-TICK confirmed at: 4355.25,9/21/2021 16:54, 9/21/2021 12:54:03 PM
177,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34089,9/21/2021 16:15, 9/21/2021 12:15:02 PM
178,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34052,9/21/2021 16:04, 9/21/2021 12:04:02 PM
179,TickTools S&P500, X-TICK top 15 percentile buyer capitulation X-TICK confirmed at: 4367.50,9/21/2021 15:37, 9/21/2021 11:37:02 AM
180,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 33971,9/21/2021 15:34, 9/21/2021 11:34:02 AM
181,TickTools S&P500, top 45 percentile buyer Exhaustion confirmed at: 4356,9/21/2021 15:12, 9/21/2021 11:12:02 AM
182,TickTools S&P500, top 35 percentile seller Exhaustion confirmed at: 4351.50,9/21/2021 14:15, 9/21/2021 10:15:02 AM
183,TickTools S&P500, top 56 percentile seller Exhaustion confirmed at: 4367,9/21/2021 14:01, 9/21/2021 10:01:02 AM
184,TickTools S&P500, top 52 percentile buyer Exhaustion confirmed at: 4385,9/21/2021 13:50, 9/21/2021 09:50:02 AM
185,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34153,9/21/2021 13:48, 9/21/2021 09:48:02 AM
186,TickTools S&P500, top 61 percentile buyer Exhaustion confirmed at: 4376,9/21/2021 13:40, 9/21/2021 09:40:02 AM
187,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4390.50,9/21/2021 7:56, 9/21/2021 03:56:03 AM
188,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34202,9/21/2021 7:44, 9/21/2021 03:44:03 AM
189,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4388.75,9/21/2021 7:44, 9/21/2021 03:44:02 AM
190,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4376.25,9/21/2021 6:33, 9/21/2021 02:33:02 AM
191,TickTools S&P500,  Y. M. Tick Tools Red Buyer Capitulation Bar triggered 1 min chart at 34104,9/21/2021 6:33, 9/21/2021 02:33:02 AM
192,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4374,9/21/2021 6:16, 9/21/2021 02:16:03 AM
193,TickTools S&P500,  Red Buyer Capitulation Bar triggered 1 min chart at 4374,9/21/2021 3:59, 9/20/2021 11:59:08 PM
